,Unnamed: 0,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,Q,DR,RH,VV,M,R,S,O,Y,datetime_str,datetime,block_hour,weather_category_hour,n_disruptions
5,5,215,20240101,06,250,8.0,80,15.0,9.3,68.0,0,0,0,75,0,0,0,0,0,2024010106,2024-01-01 06:00:00,2024-01-01 06:00:00,Other hour,0.0
6,6,215,20240101,07,250,8.0,90,14.0,9.0,,0,0,-1,66,0,1,0,0,0,2024010107,2024-01-01 07:00:00,2024-01-01 07:00:00,Other hour,0.0
7,7,215,20240101,08,250,8.0,70,15.0,8.9,,0,0,0,73,0,0,0,0,0,2024010108,2024-01-01 08:00:00,2024-01-01 08:00:00,Other hour,0.0
8,8,215,20240101,09,270,8.0,90,15.0,8.5,,3,0,-1,75,0,1,0,0,0,2024010109,2024-01-01 09:00:00,2024-01-01 09:00:00,Other hour,0.0
9,9,215,20240101,10,260,9.0,80,14.0,9.5,,26,0,-1,75,0,1,0,0,0,2024010110,2024-01-01 10:00:00,2024-01-01 10:00:00,Other hour,0.0
10,10,215,20240101,11,260,9.0,90,14.0,9.6,,57,0,0,71,0,0,0,0,0,2024010111,2024-01-01 11:00:00,2024-01-01 11:00:00,Other hour,0.0
11,11,215,20240101,12,260,9.0,90,14.0,9.4,75.0,58,0,0,69,0,0,0,0,0,2024010112,2024-01-01 12:00:00,2024-01-01 12:00:00,Other hour,0.0
12,12,215,20240101,13,260,9.0,100,15.0,9.1,,61,0,0,72,0,0,0,0,0,2024010113,2024-01-01 13:00:00,2024-01-01 13:00:00,Other hour,0.0
13,13,215,20240101,14,260,9.0,80,14.0,9.2,,43,0,0,67,0,0,0,0,0,2024010114,2024-01-01 14:00:00,2024-01-01 14:00:00,Other hour,0.0
14,14,215,20240101,15,260,8.0,80,13.0,8.7,,29,0,0,67,0,0,0,0,0,2024010115,2024-01-01 15:00:00,2024-01-01 15:00:00,Other hour,0.0
15,15,215,20240101,16,250,6.0,60,12.0,8.5,,1,0,0,66,0,0,0,0,0,2024010116,2024-01-01 16:00:00,2024-01-01 16:00:00,Other hour,0.0
16,16,215,20240101,17,240,5.0,50,10.0,8.0,,0,0,0,68,0,0,0,0,0,2024010117,2024-01-01 17:00:00,2024-01-01 17:00:00,Neutral hour,0.0
17,17,215,20240101,18,180,4.0,40,9.0,6.6,43.0,0,0,0,67,0,0,0,0,0,2024010118,2024-01-01 18:00:00,2024-01-01 18:00:00,Other hour,0.0
18,18,215,20240101,19,200,5.0,50,8.0,7.1,,0,0,0,69,0,0,0,0,0,2024010119,2024-01-01 19:00:00,2024-01-01 19:00:00,Other hour,0.0
19,19,215,20240101,20,200,6.0,60,10.0,7.2,,0,0,0,75,0,0,0,0,0,2024010120,2024-01-01 20:00:00,2024-01-01 20:00:00,Other hour,0.0
